IDCLIENTE,EVOLUCION_LCR,DIAS_MORA,COMPORT_INTERNO,ACTIVIDAD,EST_CIVIL,EDAD,RENTA,SEXO,TIPO_VIVIENDA,Salario_Anual
1976,Mantiene Cupo,56,Mal Cliente,Independiente,Casado,53,18424,F,Arrienda, $ 92.120.000 
977,Mantiene Cupo,45,Mal Cliente,Independiente,Casado,53,18424,F,Arrienda, $ 92.120.000 
1962,Mantiene Cupo,47,Mal Cliente,Independiente,Casado,56,15945,M,Propia, $ 79.725.000 
963,Mantiene Cupo,46,Mal Cliente,Independiente,Casado,56,15945,M,Propia, $ 79.725.000 
646,Disminuye Cupo,36,Mal Cliente,Independiente,Soltero,49,15857,M,Arrienda, $ 79.285.000 
1645,Disminuye Cupo,36,Mal Cliente,Independiente,Soltero,49,15857,M,Arrienda, $ 79.285.000 
811,Mantiene Cupo,65,Buen Cliente,Independiente,Casado,56,15672,M,Propia, $ 78.360.000 
1810,Mantiene Cupo,48,Buen Cliente,Independiente,Casado,56,15672,M,Propia, $ 78.360.000 
696,Aumenta Cupo,70,Mal Cliente,Dependiente,Casado,54,15653,M,Propia, $ 78.265.000 
1695,Aumenta Cupo,3,Mal Cliente,Dependiente,Casado,54,15653,M,Propia, $ 78.265.000 
978,Disminuye Cupo,6,Buen Cliente,Independiente,Casado,53,14896,M,Propia, $ 74.480.000 
1977,Disminuye Cupo,6,Buen Cliente,Independiente,Casado,53,14896,M,Propia, $ 74.480.000 
848,Mantiene Cupo,60,Mal Cliente,Independiente,Casado,47,14782,F,Arrienda, $ 73.910.000 
1847,Mantiene Cupo,60,Mal Cliente,Independiente,Casado,47,14782,F,Arrienda, $ 73.910.000 
755,Mantiene Cupo,6,Buen Cliente,Independiente,Casado,57,14555,M,Propia, $ 72.775.000 
1754,Mantiene Cupo,6,Buen Cliente,Independiente,Casado,57,14555,M,Propia, $ 72.775.000 
930,Mantiene Cupo,48,Mal Cliente,Independiente,Casado,58,14421,M,Propia, $ 72.105.000 
1929,Mantiene Cupo,62,Mal Cliente,Independiente,Casado,58,14421,M,Propia, $ 72.105.000 
783,Mantiene Cupo,36,Buen Cliente,Independiente,Casado,50,14318,M,Propia, $ 71.590.000 
1782,Mantiene Cupo,36,Buen Cliente,Independiente,Casado,50,14318,M,Propia, $ 71.590.000 
443,Disminuye Cupo,39,Mal Cliente,Dependiente,Casado,51,14179,M,Propia, $ 70.895.000 
1442,Disminuye Cupo,39,Mal Cliente,Dependiente,Casado,51,14179,M,Propia, $ 70.895.000 
1890,Mantiene Cupo,60,Buen Cliente,Independiente,Soltero,49,14027,M,Propia, $ 70.135.000 
891,Mantiene Cupo,21,Buen Cliente,Independiente,Soltero,49,14027,M,Propia, $ 70.135.000 
383,Aumenta Cupo,17,Mal Cliente,Independiente,Casado,50,13756,M,Propia, $ 68.780.000 
1382,Aumenta Cupo,12,Mal Cliente,Independiente,Casado,50,13756,M,Propia, $ 68.780.000 
896,Mantiene Cupo,18,Buen Cliente,Dependiente,Soltero,46,12976,F,Arrienda, $ 64.880.000 
1895,Mantiene Cupo,18,Buen Cliente,Dependiente,Soltero,46,12976,F,Arrienda, $ 64.880.000 
180,Aumenta Cupo,34,Mal Cliente,Dependiente,Casado,49,12749,M,Propia, $ 63.745.000 
1179,Aumenta Cupo,4,Mal Cliente,Dependiente,Casado,49,12749,M,Propia, $ 63.745.000 
998,Aumenta Cupo,21,Buen Cliente,Independiente,Soltero,39,12680,M,Propia, $ 63.400.000 
1997,Aumenta Cupo,21,Buen Cliente,Independiente,Soltero,39,12680,M,Propia, $ 63.400.000 
850,Mantiene Cupo,36,Buen Cliente,Dependiente,Casado,46,12612,M,Propia, $ 63.060.000 
1849,Mantiene Cupo,36,Buen Cliente,Dependiente,Casado,46,12612,M,Propia, $ 63.060.000 
992,Mantiene Cupo,24,Buen Cliente,Dependiente,Soltero,44,12579,F,Arrienda, $ 62.895.000 
1991,Mantiene Cupo,24,Buen Cliente,Dependiente,Soltero,44,12579,F,Arrienda, $ 62.895.000 
944,Mantiene Cupo,36,Buen Cliente,Independiente,Casado,42,12389,M,Propia, $ 61.945.000 
1943,Mantiene Cupo,63,Buen Cliente,Independiente,Casado,42,12389,M,Propia, $ 61.945.000 
576,Mantiene Cupo,40,Mal Cliente,Independiente,Casado,48,12204,M,Propia, $ 61.020.000 
1575,Mantiene Cupo,1,Mal Cliente,Independiente,Casado,48,12204,M,Propia, $ 61.020.000 
209,Mantiene Cupo,32,Mal Cliente,Independiente,Casado,46,12169,M,Propia, $ 60.845.000 
1208,Mantiene Cupo,3,Mal Cliente,Independiente,Casado,46,12169,M,Propia, $ 60.845.000 
976,Disminuye Cupo,30,Buen Cliente,Dependiente,Soltero,46,11998,M,Arrienda, $ 59.990.000 
1975,Disminuye Cupo,30,Buen Cliente,Dependiente,Soltero,46,11998,M,Arrienda, $ 59.990.000 
845,Mantiene Cupo,24,Buen Cliente,Independiente,Casado,42,11938,M,Propia, $ 59.690.000 
1844,Mantiene Cupo,24,Buen Cliente,Independiente,Casado,42,11938,M,Propia, $ 59.690.000 
974,Disminuye Cupo,59,Mal Cliente,Independiente,Casado,48,11816,M,Propia, $ 59.080.000 
1973,Disminuye Cupo,45,Mal Cliente,Independiente,Casado,48,11816,M,Propia, $ 59.080.000 
427,Mantiene Cupo,39,Mal Cliente,Dependiente,Casado,48,11760,M,Propia, $ 58.800.000 
1426,Mantiene Cupo,39,Mal Cliente,Dependiente,Casado,48,11760,M,Propia, $ 58.800.000 
